municipality,school dropout rate,illiteracy rate,population with compulsory schooling,population with higher education
Alfândega da Fé,moderate,high,very low,very low
Amares,very low,low,low,low
Braga,very low,very low,low,high
Bragança,very low,moderate,very low,high
Gondomar,low,very low,moderate,low
Maia,very low,very low,moderate,high
Matosinhos,very low,very low,low,high
Monção,very low,moderate,very low,very low
Paredes,,,,
Penafiel,very low,low,low,very low
Porto,low,very low,very low,very high
Póvoa de Lanhoso,low,moderate,very low,very low
Santo Tirso,very low,very low,very low,low
Valença,,,,
Valongo,low,very low,moderate,moderate
Viana do Castelo,very low,very low,low,moderate
Vila Nova de Famalicão,very low,very low,low,low
Vila Pouca de Aguiar,,,,
Vila Real,very low,low,low,high
Alenquer,low,low,,low
Coimbra,very low,very low,very low,very high
Figueira da Foz,very low,low,moderate,moderate
Guarda,very low,low,moderate,high
Lourinhã,moderate,low,low,low
Lousã,very low,very low,high,low
Miranda do Corvo,very low,low,low,low
Pombal,very low,high,low,very low
Soure,very low,high,low,very low
Tábua,low,moderate,low,very low
Torres Vedras,low,low,moderate,low
Alcochete,,,,
Almada,low,very low,high,high
Amadora,moderate,very low,high,moderate
Barreiro,low,very low,high,moderate
Lisboa,low,very low,very low,very high
Loures,low,very low,high,moderate
Montijo,moderate,low,high,moderate
Odivelas,low,very low,high,high
Oeiras,very low,very low,low,very high
Palmela,low,low,high,moderate
Seixal,low,very low,very high,moderate
Sesimbra,low,very low,very high,moderate
Setúbal,low,very low,high,moderate
Vila Franca de Xira,low,very low,very high,moderate
Almodôvar,very low,very high,low,very low
Alvito,moderate,very high,low,very low
Avis,high,very high,very low,very low
Azambuja,moderate,low,high,very low
Barrancos,low,high,high,very low
Beja,moderate,moderate,moderate,moderate
Chamusca,moderate,high,very low,very low
Cuba,moderate,high,moderate,low
Golegã,low,moderate,moderate,low
Grândola,moderate,high,moderate,very low
Odemira,moderate,very high,moderate,very low
Serpa,moderate,very high,low,very low
Viana do Alentejo,moderate,very high,low,very low
Vidigueira,moderate,high,low,very low
Castro Marim,moderate,high,low,very low
Lagoa,moderate,low,very high,low
Loulé,moderate,low,high,low
Monchique,moderate,very high,very low,very low
Portimão,moderate,low,very high,moderate
Tavira,moderate,moderate,moderate,low
Calheta (Açores),moderate,moderate,,very low
Lagoa (Açores),high,low,low,very low
Ponta Delgada (Açores),high,very low,moderate,moderate
Ribeira Grande (Açores),very high,moderate,low,very low
São Roque do Pico (Açores),high,very low,low,low
Porto Santo (Madeira),very low,low,high,very low
