municipality,drinkers,problematic drug use,population aged 15 and over who do not exercise,smokers aged 15 and over
Alfândega da Fé,low,very low,moderate,very low
Amares,high,very low,high,low
Braga,moderate,moderate,very low,low
Bragança,low,very low,,low
Gondomar,high,moderate,low,moderate
Maia,moderate,low,low,low
Matosinhos,moderate,moderate,low,moderate
Monção,very low,low,very low,very low
Paredes,,,,
Penafiel,moderate,very low,high,low
Porto,moderate,high,very low,moderate
Póvoa de Lanhoso,high,low,moderate,low
Santo Tirso,high,low,moderate,very low
Valença,,,,
Valongo,very low,very low,low,low
Viana do Castelo,moderate,low,very low,low
Vila Nova de Famalicão,moderate,low,very low,low
Vila Pouca de Aguiar,,,,
Vila Real,high,very low,very low,low
Alenquer,,,,
Coimbra,low,low,moderate,very low
Figueira da Foz,low,low,low,very low
Guarda,low,very low,low,very low
Lourinhã,moderate,very low,low,low
Lousã,high,very low,low,very low
Miranda do Corvo,moderate,very low,moderate,very low
Pombal,high,very low,very low,very low
Soure,high,very low,low,very low
Tábua,very high,low,moderate,low
Torres Vedras,low,low,very low,low
Alcochete,,,,
Almada,low,moderate,low,low
Amadora,low,very low,,very low
Barreiro,low,low,moderate,low
Lisboa,low,low,low,very low
Loures,low,very low,moderate,very low
Montijo,very low,very low,moderate,very low
Odivelas,very low,very low,low,very low
Oeiras,low,moderate,very low,low
Palmela,very low,very low,low,very low
Seixal,moderate,very low,low,very low
Sesimbra,low,low,moderate,very low
Setúbal,very low,very low,very low,very low
Vila Franca de Xira,moderate,very low,high,very low
Almodôvar,very low,very low,very high,very low
Alvito,moderate,very low,moderate,low
Avis,very low,low,very low,low
Azambuja,very low,low,moderate,very low
Barrancos,very low,low,very high,very low
Beja,low,low,very low,low
Chamusca,very high,very low,moderate,very low
Cuba,low,low,very high,low
Golegã,very high,low,high,low
Grândola,moderate,moderate,low,low
Odemira,moderate,low,moderate,very low
Serpa,high,moderate,very low,low
Viana do Alentejo,moderate,very low,low,very low
Vidigueira,very low,very low,,low
Castro Marim,very low,low,,very high
Lagoa,low,very low,moderate,high
Loulé,very low,low,moderate,moderate
Monchique,moderate,moderate,high,moderate
Portimão,very low,low,very low,moderate
Tavira,low,low,moderate,high
Calheta (Açores),,,,
Lagoa (Açores),low,high,moderate,very low
Ponta Delgada (Açores),very low,moderate,low,very low
Ribeira Grande (Açores),high,very high,high,low
São Roque do Pico (Açores),very high,high,,low
Porto Santo (Madeira),high,very low,very low,very low
