municipality,diabetes,high blood pressure,hospitalizations for mental illness,obesity in population aged 18 and over,obesity in children and adolescents
Alfândega da Fé,high,high,very high,very low,very low
Amares,low,moderate,low,low,moderate
Braga,very low,low,low,very low,moderate
Bragança,low,moderate,very high,very low,very low
Gondomar,moderate,moderate,moderate,low,moderate
Maia,low,low,high,very low,low
Matosinhos,moderate,moderate,moderate,low,moderate
Monção,moderate,moderate,low,very low,very low
Paredes,,,high,,
Penafiel,very low,low,high,very low,low
Porto,low,moderate,very high,very low,low
Póvoa de Lanhoso,low,moderate,low,low,moderate
Santo Tirso,moderate,moderate,high,low,moderate
Valença,,,high,,
Valongo,very high,very high,very high,very low,very low
Viana do Castelo,low,moderate,high,very low,low
Vila Nova de Famalicão,low,low,low,low,low
Vila Pouca de Aguiar,,,high,,
Vila Real,low,moderate,moderate,very low,low
Alenquer,,,moderate,,
Coimbra,low,moderate,very high,moderate,low
Figueira da Foz,low,moderate,moderate,moderate,moderate
Guarda,very low,low,very high,low,low
Lourinhã,low,low,moderate,moderate,high
Lousã,moderate,very low,very high,high,low
Miranda do Corvo,high,high,high,very low,low
Pombal,moderate,high,high,moderate,low
Soure,high,high,moderate,high,low
Tábua,moderate,high,high,moderate,moderate
Torres Vedras,low,moderate,low,moderate,high
Alcochete,,,low,,
Almada,very low,low,low,moderate,moderate
Amadora,very low,low,moderate,low,moderate
Barreiro,low,low,high,moderate,high
Lisboa,very low,low,high,low,moderate
Loures,very low,low,moderate,moderate,moderate
Montijo,very low,low,low,low,low
Odivelas,very low,low,moderate,low,low
Oeiras,very low,low,low,moderate,moderate
Palmela,low,moderate,moderate,moderate,low
Seixal,very low,moderate,low,high,moderate
Sesimbra,low,moderate,moderate,moderate,low
Setúbal,very low,low,moderate,low,low
Vila Franca de Xira,very low,low,moderate,high,low
Almodôvar,moderate,high,low,moderate,moderate
Alvito,high,high,moderate,high,moderate
Avis,high,high,low,low,moderate
Azambuja,low,moderate,moderate,low,low
Barrancos,high,high,low,moderate,very low
Beja,moderate,moderate,moderate,low,low
Chamusca,high,high,moderate,high,high
Cuba,moderate,high,low,low,low
Golegã,high,high,high,high,moderate
Grândola,high,high,moderate,moderate,low
Odemira,low,moderate,very high,moderate,low
Serpa,high,high,low,high,moderate
Viana do Alentejo,moderate,high,moderate,moderate,moderate
Vidigueira,high,high,low,moderate,moderate
Castro Marim,moderate,high,low,moderate,low
Lagoa,low,moderate,moderate,low,low
Loulé,very low,moderate,low,low,low
Monchique,moderate,high,high,low,moderate
Portimão,low,moderate,moderate,low,moderate
Tavira,low,moderate,low,low,moderate
Calheta (Açores),,,very low,,
Lagoa (Açores),very low,low,very low,moderate,high
Ponta Delgada (Açores),very low,low,very low,moderate,high
Ribeira Grande (Açores),moderate,low,very low,high,very high
São Roque do Pico (Açores),high,high,very low,very high,high
Porto Santo (Madeira),moderate,low,very low,very low,very low
