municipality,road accidents with victims,violence against children,domestic violence
Alfândega da Fé,low,very low,moderate
Amares,moderate,high,very high
Braga,low,moderate,moderate
Bragança,low,very low,moderate
Gondomar,very low,moderate,high
Maia,low,low,low
Matosinhos,low,low,moderate
Monção,low,very low,very low
Paredes,,,
Penafiel,moderate,low,moderate
Porto,high,very low,high
Póvoa de Lanhoso,high,low,low
Santo Tirso,low,moderate,low
Valença,,,
Valongo,low,moderate,moderate
Viana do Castelo,low,moderate,high
Vila Nova de Famalicão,moderate,low,low
Vila Pouca de Aguiar,,,
Vila Real,low,low,low
Alenquer,,,
Coimbra,moderate,low,moderate
Figueira da Foz,moderate,low,high
Guarda,very low,moderate,moderate
Lourinhã,low,moderate,low
Lousã,low,very low,low
Miranda do Corvo,very low,high,very low
Pombal,moderate,low,low
Soure,low,high,very low
Tábua,moderate,moderate,moderate
Torres Vedras,moderate,moderate,moderate
Alcochete,,,
Almada,very low,low,high
Amadora,low,high,high
Barreiro,very low,moderate,very high
Lisboa,high,low,high
Loures,moderate,high,moderate
Montijo,low,moderate,moderate
Odivelas,very low,moderate,moderate
Oeiras,moderate,moderate,low
Palmela,moderate,moderate,moderate
Seixal,very low,high,moderate
Sesimbra,very low,low,high
Setúbal,low,moderate,high
Vila Franca de Xira,very low,high,moderate
Almodôvar,very low,moderate,very low
Alvito,low,high,low
Avis,very low,very low,very high
Azambuja,high,very low,moderate
Barrancos,very low,very high,low
Beja,very low,low,low
Chamusca,moderate,moderate,moderate
Cuba,very low,very high,moderate
Golegã,moderate,very low,moderate
Grândola,high,low,high
Odemira,low,low,high
Serpa,very low,very low,low
Viana do Alentejo,very low,moderate,moderate
Vidigueira,very low,very low,low
Castro Marim,very high,low,low
Lagoa,high,moderate,very high
Loulé,high,low,very high
Monchique,high,low,very low
Portimão,moderate,low,high
Tavira,high,moderate,moderate
Calheta (Açores),,,
Lagoa (Açores),very low,very high,very high
Ponta Delgada (Açores),low,high,very high
Ribeira Grande (Açores),,very high,very high
São Roque do Pico (Açores),high,moderate,moderate
Porto Santo (Madeira),high,high,very high
