municipality,abstention in local elections,youth unemployment rate,long-term unemployment rate,elderly dependency,elderly population living alone,aging index,population aged between 15 and 34 who neither work nor study,monthly household income,beneficiaries of social integration income
Alfândega da Fé,low,high,very high,very high,moderate,very high,very high,low,low
Amares,moderate,low,low,low,very low,low,low,high,very low
Braga,very low,low,low,low,very low,low,very low,high,very low
Bragança,high,low,low,high,low,moderate,low,very high,very low
Gondomar,low,low,low,low,very low,low,high,moderate,low
Maia,very low,low,low,low,very low,low,low,high,low
Matosinhos,low,low,moderate,moderate,low,low,moderate,high,low
Monção,high,very low,very low,very high,low,high,very low,moderate,very low
Paredes,,,,,,,high,,
Penafiel,very low,low,moderate,low,very low,low,low,low,low
Porto,very low,low,high,moderate,very high,moderate,high,very high,moderate
Póvoa de Lanhoso,low,low,moderate,moderate,very low,low,low,low,very low
Santo Tirso,low,low,moderate,moderate,very low,moderate,very low,moderate,very low
Valença,,,,,,,high,,
Valongo,low,low,moderate,low,very low,low,moderate,moderate,low
Viana do Castelo,low,very low,very low,moderate,very low,moderate,very low,low,very low
Vila Nova de Famalicão,very low,low,low,low,very low,low,very low,high,very low
Vila Pouca de Aguiar,,,,,,,very high,,
Vila Real,low,moderate,high,moderate,low,low,low,high,low
Alenquer,,,,,moderate,,low,,
Coimbra,low,low,low,moderate,moderate,moderate,very low,low,low
Figueira da Foz,moderate,moderate,low,high,moderate,moderate,moderate,moderate,low
Guarda,low,low,moderate,moderate,low,moderate,low,moderate,low
Lourinhã,low,low,very low,moderate,moderate,low,moderate,moderate,very low
Lousã,low,low,low,moderate,moderate,low,low,moderate,low
Miranda do Corvo,low,moderate,very low,high,moderate,moderate,low,low,very low
Pombal,high,low,low,high,moderate,moderate,very low,moderate,very low
Soure,low,low,low,very high,moderate,high,very low,very low,very low
Tábua,low,moderate,moderate,high,low,moderate,low,low,very low
Torres Vedras,low,low,very low,moderate,low,low,very low,moderate,very low
Alcochete,,,,,,,moderate,,
Almada,low,very low,low,moderate,very high,low,high,high,low
Amadora,very low,very low,low,moderate,very high,low,high,high,low
Barreiro,low,low,moderate,moderate,very high,low,high,high,low
Lisboa,very low,very low,low,moderate,very high,low,moderate,very high,low
Loures,low,very low,low,moderate,moderate,low,high,moderate,low
Montijo,moderate,low,moderate,low,high,very low,high,moderate,low
Odivelas,low,very low,very low,low,high,low,moderate,moderate,very low
Oeiras,very low,very low,low,moderate,very high,low,low,very high,very low
Palmela,moderate,very low,very low,low,low,low,moderate,high,very low
Seixal,low,very low,low,moderate,low,low,high,moderate,low
Sesimbra,moderate,very low,very low,low,low,low,moderate,high,low
Setúbal,moderate,low,low,moderate,high,low,high,high,low
Vila Franca de Xira,low,very low,very low,low,moderate,very low,moderate,high,very low
Almodôvar,low,low,low,very high,high,high,low,very low,very low
Alvito,low,high,low,high,low,moderate,moderate,low,low
Avis,very low,high,high,very high,high,high,very high,low,moderate
Azambuja,low,very low,very low,moderate,moderate,low,high,low,very low
Barrancos,low,very high,very high,high,very high,moderate,high,very low,low
Beja,low,moderate,moderate,moderate,high,low,high,high,moderate
Chamusca,low,low,very low,very high,high,high,low,very low,very low
Cuba,very low,high,high,high,moderate,moderate,moderate,low,low
Golegã,low,,very low,high,high,moderate,very low,low,very low
Grândola,moderate,low,low,high,high,moderate,high,moderate,very low
Odemira,low,low,very low,moderate,very high,moderate,low,high,very low
Serpa,low,high,high,high,high,moderate,very high,moderate,moderate
Viana do Alentejo,moderate,moderate,moderate,high,moderate,moderate,low,very low,low
Vidigueira,low,moderate,high,high,high,moderate,very high,moderate,moderate
Castro Marim,moderate,moderate,very low,very high,high,high,very high,very low,low
Lagoa,moderate,high,very low,moderate,moderate,low,very high,low,low
Loulé,high,moderate,very low,moderate,moderate,low,very high,high,very low
Monchique,very low,moderate,moderate,very high,very high,high,very high,low,very low
Portimão,moderate,high,low,moderate,high,low,very high,moderate,low
Tavira,moderate,very low,very low,high,moderate,moderate,very high,moderate,very low
Calheta (Açores),,,,,low,,low,,
Lagoa (Açores),very high,low,low,very low,very low,very low,high,moderate,high
Ponta Delgada (Açores),very high,low,low,very low,low,very low,very high,moderate,high
Ribeira Grande (Açores),very high,moderate,moderate,very low,very low,very low,very high,low,very high
São Roque do Pico (Açores),high,moderate,very low,low,very low,low,moderate,low,very low
Porto Santo (Madeira),low,moderate,high,low,moderate,low,very high,moderate,very low
