município,a_evu,agua_seg,ag_verde,mp_tparticular,mp_tpublico,p_ruido
Alfândega da Fé,7.1,97.6,71.3,71.3,3.9,8.9
Amares,2.2,98,37.3,77.5,11.9,15.8
Braga,2.8,100,24.7,72.7,11.9,20.4
Bragança,10.1,98.6,66.5,74.9,3.6,-1
Gondomar,1.5,100,34.2,68.1,22.5,27.5
Maia,5,99.9,12.9,75.2,14.7,51.5
Matosinhos,4,100,16.3,69.3,17.3,-1
Monção,1.1,96.4,77.9,76.7,7.2,-1
Paredes,,,,,,
Penafiel,2.1,100,81.3,72.3,16.1,36.8
Porto,7,99.6,8.5,57.8,21.2,-1
Póvoa de Lanhoso,2.3,99.5,52.5,74.2,12,-1
Santo Tirso,4.5,99.8,36.6,78,10.2,7.2
Valença,,,,,,
Valongo,1.6,99.8,32.2,70.8,18.4,29.2
Viana do Castelo,6.2,99.2,53.4,78.4,7.6,4.7
Vila Nova de Famalicão,4.2,99.9,28.8,78.7,9.6,32.7
Vila Pouca de Aguiar,,,,,,
Vila Real,0.8,99.7,52.3,75.3,7.5,19.1
Alenquer,-1,,-1,24.6,5.2,-1
Coimbra,5.2,99.9,42.6,76.6,12.4,43.7
Figueira da Foz,6.3,99.8,51.5,78.4,7.3,12.6
Guarda,8.7,97.4,53.1,77.6,5.3,58.7
Lourinhã,4.2,99.6,21.4,75.1,11.8,11
Lousã,1.5,97.3,33.5,78,9.4,100
Miranda do Corvo,0.6,100,51.4,74.1,15.1,14.7
Pombal,2.4,99.7,85.9,78.8,7.4,17
Soure,3.2,99,91,79.7,11.6,-1
Tábua,0.6,99.9,75.6,78.6,7.2,-1
Torres Vedras,3.3,99.4,46.1,73.1,12.8,18.6
Alcochete,,,,,,
Almada,6,99.8,10.5,52.9,31.9,27.9
Amadora,7.8,99.6,2.7,52.8,32.4,47.2
Barreiro,10.7,99.9,6.3,46.2,36.8,-1
Lisboa,8,99.2,6.6,52.5,26.4,99
Loures,5.5,99.7,12.9,61.2,26.4,59.3
Montijo,4.5,99,27.4,65.3,18.2,40.3
Odivelas,1.9,99.7,8.8,58.6,29.3,34
Oeiras,5.9,99.6,8.9,67.6,20.3,52.5
Palmela,5.4,99.4,23.2,68.5,18.9,25.8
Seixal,4.2,99.9,10.4,55.4,32.2,37.2
Sesimbra,2,100,49.5,66.8,20.3,-1
Setúbal,2.7,99.8,15.4,62.6,18.3,17
Vila Franca de Xira,3.8,99.8,12,59.5,25.5,44.4
Almodôvar,15.6,99,89,60.6,8.2,10.6
Alvito,7.6,99.1,39.5,55.5,9.2,-1
Avis,4,99.1,65.8,65.7,7.3,8.5
Azambuja,0.7,99.9,54.8,62.4,20.8,49.2
Barrancos,0.7,96.3,5.2,52.2,7.3,-1
Beja,2.8,99.3,48.8,68.6,6.3,34.5
Chamusca,8.3,98.8,80.8,71.9,11.9,3.3
Cuba,6.4,99.1,33.2,67,8.7,-1
Golegã,5.4,98.8,44.1,70.5,8.3,23.4
Grândola,1.6,98.7,87.3,67.4,6.4,21.5
Odemira,0.5,97.7,299,64.1,9.6,-1
Serpa,1,98.8,148.1,61.9,8,19.4
Viana do Alentejo,8.4,98.4,27.1,69.1,6.2,30.2
Vidigueira,0.7,98.9,102,69.4,8.5,15
Castro Marim,6.1,99.1,81.1,76.1,8.3,-1
Lagoa,0.5,99.3,58.7,76.9,6.4,-1
Loulé,2.4,99.7,48.7,72.8,5.2,-1
Monchique,3.5,99.6,57.6,70.2,9,-1
Portimão,3.4,99.7,22.1,73.1,4.4,-1
Tavira,2.5,99.9,56.4,71.6,6.2,-1
Calheta (Açores),-1,,-1,1.7,0.2,-1
Lagoa (Açores),1.3,99.9,22.5,75.2,7.9,-1
Ponta Delgada (Açores),5.1,99.9,48,77,8.8,-1
Ribeira Grande (Açores),0.8,99.4,34.4,69.7,8.5,-1
São Roque do Pico (Açores),-1,99.3,-1,80.7,4.1,-1
Porto Santo (Madeira),-1,99.2,-1,78.1,4.6,-1
