município,mort_alcool,mort_cs,mort_diabetes,mort_pobreza,mort_prev,mort_suicidio,mort_tabaco,mort_tumores
Alfândega da Fé,111.9,105.5,99,120.8,104.1,95,93.8,93.9
Amares,91,72.2,54.5,117.4,105.8,66.6,100.8,87.3
Braga,90.9,79.5,50.3,83.7,79,64.5,91.9,93.8
Bragança,110,83.6,89.3,108.1,90.2,113.2,96.4,97.9
Gondomar,94,84.2,77,106.2,98.1,80.8,95,102
Maia,86,86.3,84,87.2,98.5,60.5,97.2,99.2
Matosinhos,93,81.7,83.3,94.3,97.6,74.7,93.4,103.5
Monção,117.7,108.8,105.7,68.4,125.3,93.7,117.5,96.4
Paredes,,,,,,,,
Penafiel,93.6,89.8,99.7,120.9,105.3,68.4,103.4,90.6
Porto,98.4,93.9,57.9,130.4,107.4,74.5,93.5,105.3
Póvoa de Lanhoso,87.4,74.3,106.6,149.6,94.4,68.5,92.3,86.7
Santo Tirso,82.7,88.8,98.7,63.3,100.6,79.8,101.3,100.4
Valença,,,,,,,,
Valongo,85,88.1,90.1,65.6,93.8,61.3,92.8,94.8
Viana do Castelo,102.1,86.4,97.9,80.3,93.2,55.8,93.8,104.2
Vila Nova de Famalicão,89.1,89.4,95.3,92.7,99,88.3,94.5,99
Vila Pouca de Aguiar,,,,,,,,
Vila Real,113.3,85.4,69.3,104,91.1,81.4,98.1,88.2
Alenquer,,,,,,,,
Coimbra,96.3,86.2,65.6,120.2,80.2,102.2,90.2,99.1
Figueira da Foz,102.3,95.9,111.1,165.9,91.4,115.6,108,97.1
Guarda,106.8,91.7,88.2,119.2,86.1,93.2,96.7,98.8
Lourinhã,100.5,109.4,189,151.6,100.1,135.2,107.1,106.6
Lousã,109.2,100.9,74.8,76.2,93,101.9,101.8,100.7
Miranda do Corvo,105.9,112.4,101.8,68.2,99.2,115.1,115.5,102.2
Pombal,118.4,104.4,110,133.9,97.6,116.1,105.6,97
Soure,102.6,101.5,111.3,158,84.7,116.7,95.2,91.4
Tábua,108.2,102.2,90,109.3,108.6,85.8,113.1,101.8
Torres Vedras,106.5,104.5,125.7,153.5,84.7,146.2,112,108.1
Alcochete,,,,,,,,
Almada,117.3,106.2,101.9,107.5,109.5,102.9,109.6,114.9
Amadora,96.9,103.8,81.1,60.5,93.6,67.4,88.9,94
Barreiro,103.7,103.2,113.3,154.8,101,104.8,104.8,107.1
Lisboa,103.6,100.7,80.4,77.2,104.2,91.7,93.8,104.9
Loures,97.7,96.3,96.8,54.7,95.4,82.6,95.9,99.9
Montijo,102.8,132.4,140.6,121.6,115.3,133.7,120.2,102.9
Odivelas,103.4,96.5,87.8,50.4,95.5,77,93,96
Oeiras,89.9,78.5,60.1,50.5,80.5,83.5,85.7,97
Palmela,113,124.6,137.7,82.9,106.2,128,120.4,104.9
Seixal,99,96.8,123.3,84.6,95.9,101.2,100.4,99.8
Sesimbra,120,114.3,143.6,104.9,114.6,83.7,113.2,115.4
Setúbal,112.3,122,128.1,86,114.2,114,116.8,115.2
Vila Franca de Xira,91.7,98.8,124.5,73.7,92.3,99.9,99.7,100.3
Almodôvar,102.3,108,116.1,167.2,110.7,218.1,112.8,109.3
Alvito,113.4,128.4,201.2,113.8,125.1,179,133.2,114.4
Avis,97.9,138.9,165,102.9,100.4,182.6,105,90.6
Azambuja,92,114.3,112,93.5,94.3,167.7,105.8,97.5
Barrancos,111.3,138.6,134.1,226.4,121.4,208.4,125.6,102.6
Beja,93.9,118.8,143.5,149.4,107.5,167.5,117.6,97.7
Chamusca,99.5,119,117.8,68.4,94.5,172.9,87.7,86.8
Cuba,116.4,150.4,182.4,304.3,109.6,178,146.4,111.9
Golegã,101.2,122.6,145.1,81.1,102.3,141,116.7,102.8
Grândola,95.4,123.7,86.2,80.1,113,213.4,112.9,96.1
Odemira,103.7,122.1,87.1,100.4,125.3,259.5,98.3,94.3
Serpa,109,145.8,165.9,129.3,126.6,179.2,121.9,111.7
Viana do Alentejo,107.3,119.1,239.8,118.6,121.3,204.1,112.4,119.5
Vidigueira,108.6,143.5,145.1,200.4,134,167.9,111.8,104.2
Castro Marim,94.4,128.4,111.1,124.3,137.9,162.3,106.7,106.1
Lagoa,101.6,120,70.4,184.7,113.3,163.5,102.1,108.6
Loulé,90.5,112.6,78,158.3,105,173.1,101.2,98.5
Monchique,98.1,119.8,71.3,132.9,101.2,232.3,97.6,97.1
Portimão,106.1,114.2,61.2,185.4,120.5,159.3,110.2,112.6
Tavira,91.6,112.9,107,128.7,104.5,161.9,95.6,97.2
Calheta (Açores),,,,,,,,
Lagoa (Açores),106.5,126.8,170.7,92.2,135.5,107.6,123.4,105.6
Ponta Delgada (Açores),141.5,133.9,157.5,90.2,154.2,126,142.3,131.2
Ribeira Grande (Açores),103.2,155.4,259.9,105.1,178.5,132.4,179.1,134.5
São Roque do Pico (Açores),103.2,113.1,140.4,113.3,124.2,105.4,117.5,99.9
Porto Santo (Madeira),90.2,128.8,89.7,160.9,121.1,93.2,131.9,114.2
