municipality,accommodation without heating,accommodation with humidity problems,overcrowded accommodation,unsanitary housing,social response capacity for children,social response capacity for seniors,buildings without wheelchair accessibility
Alfândega da Fé,very low,low,very low,low,moderate,moderate,high
Amares,very low,low,low,very low,very low,very low,low
Braga,very low,moderate,low,very low,moderate,very low,moderate
Bragança,,,very low,low,high,moderate,high
Gondomar,moderate,moderate,moderate,very low,very low,very low,high
Maia,low,moderate,moderate,very low,very low,very low,moderate
Matosinhos,moderate,high,moderate,very low,low,very low,moderate
Monção,very low,very low,very low,low,moderate,very low,low
Paredes,,,,very low,,,
Penafiel,very low,low,moderate,very low,very low,low,low
Porto,low,low,moderate,low,low,low,high
Póvoa de Lanhoso,very low,very low,low,low,moderate,low,moderate
Santo Tirso,low,very low,low,very low,very low,very low,low
Valença,,,,low,,,
Valongo,moderate,high,moderate,very low,very low,very low,moderate
Viana do Castelo,very low,high,low,very low,high,low,moderate
Vila Nova de Famalicão,very low,moderate,low,very low,high,low,low
Vila Pouca de Aguiar,,,,moderate,,,
Vila Real,very low,moderate,very low,low,moderate,low,high
Alenquer,,,moderate,very low,,,high
Coimbra,moderate,moderate,very low,very low,high,low,moderate
Figueira da Foz,low,moderate,low,low,high,low,low
Guarda,very low,very low,very low,low,very high,moderate,very high
Lourinhã,high,moderate,low,very low,high,moderate,low
Lousã,very low,very low,very low,very low,low,low,high
Miranda do Corvo,moderate,moderate,very low,very low,very high,low,moderate
Pombal,very low,high,very low,low,moderate,low,very low
Soure,low,very high,very low,low,very high,moderate,very low
Tábua,very low,low,very low,moderate,very high,moderate,moderate
Torres Vedras,high,moderate,moderate,very low,moderate,moderate,moderate
Alcochete,,,,very low,,,
Almada,high,high,moderate,very low,low,very low,very high
Amadora,,,high,very low,very low,very low,very high
Barreiro,high,moderate,moderate,very low,low,very low,very high
Lisboa,high,moderate,moderate,very low,low,low,high
Loures,high,moderate,high,very low,very low,very low,high
Montijo,moderate,moderate,moderate,low,low,low,very high
Odivelas,moderate,moderate,high,very low,very low,very low,very high
Oeiras,high,moderate,moderate,very low,low,very low,high
Palmela,low,moderate,moderate,very low,very low,very low,moderate
Seixal,high,high,moderate,very low,very low,very low,very high
Sesimbra,high,high,moderate,very low,low,very low,moderate
Setúbal,moderate,low,moderate,very low,low,very low,high
Vila Franca de Xira,low,high,moderate,very low,moderate,very low,very high
Almodôvar,high,very high,low,high,low,low,moderate
Alvito,high,very high,very low,low,very high,high,high
Avis,low,low,very low,moderate,moderate,very high,moderate
Azambuja,moderate,high,moderate,low,high,moderate,moderate
Barrancos,low,very low,very low,very low,moderate,moderate,very high
Beja,low,moderate,low,low,high,low,very high
Chamusca,high,very high,very low,low,low,high,low
Cuba,moderate,moderate,very low,low,high,low,high
Golegã,moderate,high,very low,very low,low,high,moderate
Grândola,low,high,moderate,moderate,very high,high,low
Odemira,high,moderate,high,high,moderate,moderate,low
Serpa,low,high,low,moderate,moderate,low,high
Viana do Alentejo,high,moderate,very low,very low,moderate,low,high
Vidigueira,,,very low,low,high,moderate,moderate
Castro Marim,,,low,moderate,very high,very low,moderate
Lagoa,high,moderate,moderate,low,very high,very low,high
Loulé,low,moderate,high,low,low,very low,low
Monchique,high,very high,low,very high,very high,very low,moderate
Portimão,moderate,moderate,high,low,very low,very low,moderate
Tavira,low,moderate,moderate,moderate,very high,low,high
Calheta (Açores),,,moderate,low,,,low
Lagoa (Açores),very high,very high,very high,very low,low,moderate,high
Ponta Delgada (Açores),very high,very high,high,very low,moderate,moderate,moderate
Ribeira Grande (Açores),very high,very high,very high,very low,moderate,high,moderate
São Roque do Pico (Açores),,,moderate,very low,high,very high,low
Porto Santo (Madeira),very high,low,high,very low,,,very low
